objectid,title,displaydate,attribution,classification,iiifthumburl,age,decade,category,
170440,Chasm,1983,Louisa Chase,Print,"https://api.nga.gov/iiif/d5b44ab2-7133-4853-ae8e-c13962374d67/full/!800,800/0/default.jpg",32,1980,min,
131750,Ellis Island 54,1988,Madoka Takagi,Photograph,"https://api.nga.gov/iiif/88a66fcf-643e-437e-892e-df041ddb61c0/full/!800,800/0/default.jpg",32,1980,min,
101887,Greeting Card,1980,Marc Chagall,Print,"https://api.nga.gov/iiif/231334cb-c698-4f1b-bdae-1ec46a379189/full/!800,800/0/default.jpg",93,1980,max,
101888,Greeting Card,1980,Marc Chagall,Print,"https://api.nga.gov/iiif/76fc39f6-0828-48ef-933d-f1b7926a4efa/full/!800,800/0/default.jpg",93,1980,max,
101889,Greeting Card,1980,Marc Chagall,Print,"https://api.nga.gov/iiif/952bd5e4-1a6b-46bf-9d7b-b05ea4cb5c5f/full/!800,800/0/default.jpg",93,1980,max,
119557,Self-Portrait,1988,Ilse Bing,Photograph,"https://api.nga.gov/iiif/ee1edb3f-5021-4a1d-9d9f-08d156df8f8e/full/!800,800/0/default.jpg",89,1980,max,
222435,The Brown Sisters,1987,Henry Speller,Drawing,"https://api.nga.gov/iiif/eb3fa35b-1f29-400f-8edb-62a5934ba6ad/full/!800,800/0/default.jpg",87,1980,max,
175103,Indo Smoke,1994,Danny Hogg (Cool Disco Dan),Drawing,"https://api.nga.gov/iiif/c929e78a-0f21-40c4-99b3-271e1aa3f908/full/!800,800/0/default.jpg",25,1990,min,
175104,Klepto Kid,1994,Danny Hogg (Cool Disco Dan),Drawing,"https://api.nga.gov/iiif/e45d1afd-8566-473d-97b1-de89cd71ee68/full/!800,800/0/default.jpg",25,1990,min,
222447,Ice Lands,1994,Ronald Lockett,Sculpture,"https://api.nga.gov/iiif/8501cca1-95b7-4f28-b0b8-47b98be3902f/full/!800,800/0/default.jpg",29,1990,min,
131745,"University Heights, Bronx",1990,Madoka Takagi,Photograph,"https://api.nga.gov/iiif/ea97b9c5-067f-4413-9f5b-c154fc340a4a/full/!800,800/0/default.jpg",34,1990,min,
131746,Brooklyn Navy Yard,1990,Madoka Takagi,Photograph,"https://api.nga.gov/iiif/fef93a0f-a0ca-4a20-8686-85daaaabcc26/full/!800,800/0/default.jpg",34,1990,min,
143255,Elvis,1993,Albert Hirschfeld,Print,"https://api.nga.gov/iiif/781da55e-6c7c-4d81-aa40-4a165b89c5a6/full/!800,800/0/default.jpg",90,1990,max,
83496,Untitled,1993,Frederick Sommer,Print,"https://api.nga.gov/iiif/b4cffb50-1cfe-4ad2-9d8d-8cd10953b100/full/!800,800/0/default.jpg",88,1990,max,
83505,Untitled,1993,Frederick Sommer,Print,"https://api.nga.gov/iiif/c42f0ad9-5750-418d-9d90-3c65135bdbc7/full/!800,800/0/default.jpg",88,1990,max,
83511,Untitled,1993,Frederick Sommer,Print,"https://api.nga.gov/iiif/fe873b11-0491-4101-963b-6cb831f75aad/full/!800,800/0/default.jpg",88,1990,max,
141618,M is for Mother,1998,Louise Bourgeois,Drawing,"https://api.nga.gov/iiif/97a6221d-ef6a-4415-903a-5565dff3725e/full/!800,800/0/default.jpg",87,1990,max,
